Type,Seed,PSNR,SSIM,BPP,q,Compression
SPLIT,2,29.544977863754024,0.5849296249115936,0.09853314393292684,1,0.012316642991615855
SPLIT,2,29.545205955674433,0.5849387610201976,0.09853625779103724,2,0.012317032223879655
SPLIT,2,29.58006758290606,0.5869929394171333,0.09903786460668335,3,0.012379733075835418
SPLIT,2,inf,0.7649937712883668,0.10056855209734335,4,0.012571069012167918
SPLIT,2,33.63937493340046,0.843185828237594,0.10232731230238692,5,0.012790914037798366
SPLIT,2,33.280952111255445,0.8231400350985181,0.10451615160137231,6,0.01306451895017154
SPLIT,2,37.291425473415394,0.8917614976074646,0.11418634702407351,10,0.01427329337800919
